case,channel_id,pattern,non_deepseek_majority_iso,non_deepseek_majority_votes,non_deepseek_total_votes,deepseek_flash_iso,deepseek_flash_confidence,deepseek_pro_iso,deepseek_pro_confidence,lid_consensus_status,openlid_label,glotlid_label,assessment,fixable_issue,recommendation,evidence_excerpt
11,UCbIpy6X4nVhggsKJhhF_glg,both_or_all_deepseek_outside_other_majority,eng,5,5,ara,high,ara,high,exact_model_agreement,eng_Latn,eng_Latn,True bilingual/mixed English-Arabic recipe evidence; DeepSeek may overweight Arabic translations.,Parallel-language titles are forced into a single primary label.,Use mixed-language flag more aggressively when repeated title pairs contain English plus another script.,video_title[latin]: you have potatoes and eggs try this minde blowing recipe فقط بيض وبطاطا لن تشبع منها | video_title[latin]: just potatoes cauliflower and eggs and make the most delicious meal | video_title[latin]: you don't have time? cook this delicious tortilla تورتيلا سريعة
12,UCsNi3yBwjL9KspadEnzRVdw,both_or_all_deepseek_outside_other_majority,eng,6,6,urd,medium,urd,high,exact_model_agreement,eng_Latn,eng_Latn,DeepSeek Urdu is likely right; titles are Urdu poetry/ghazal in Latin script.,Romanized Urdu is being classified as English by most non-DeepSeek models/LID.,Add explicit romanized Urdu examples/cues to the language prompt and review rules.,video_title[latin]: Dr. Arfa Zehra on Social Justice and Secularism. Secularism is Not Irreligious #shorts #secularism | video_title[latin]: Qamar Abbas Qamar Viral Shayari on Loneliness at Jashn-e-Rekhta #shorts #shayari #urdupoetry | video_title[latin]: Shamim Hanfi on the History of Urdu & Why Urdu Is Worth More Than the Taj Mahal #shorts #urdu
13,UCtJxQel2MvBYmXpMlc1CjXw,both_or_all_deepseek_outside_other_majority,eng,5,5,hin,high,hin,high,exact_model_agreement,eng_Latn,eng_Latn,DeepSeek Hindi is plausible; dance/song titles are Hindi/Bollywood in Latin script.,Romanized Hindi/Bollywood titles are being treated as English.,Add romanized Indic/music-title handling and prompt instruction to classify the language of song/title phrases.,video_title[latin]: Sajan Sajan & Saiyaara & Ghar More Pardesia & Tum Prem Ho & Mere Ghar Ram (Devesh Mirchandani) | video_title[latin]: Dance Workout on Pyaar dilo Ke Mela & Jeene Ke Hai char Din- Devesh Mirchandani | video_title[latin]: Ghar More Pardesiya (Devesh Mirchandani) next Destination Kolkata 3-4-5 April 2026
14,UCEeDkjdVgP-EVTXqgTAcopg,both_or_all_deepseek_outside_other_majority,hin,5,5,pan,high,pan,high,exact_model_agreement,hin_Deva,hin_Deva,Close/mixed Hindi-Punjabi case; DeepSeek follows Gurmukhi/Punjabi examples while majority follows Devanagari/Hindi.,Prompt ordering puts long Punjabi examples first despite more Hindi examples.,Add distribution counts and representative stratified examples by script/language rather than length-only ordering.,video_title[other]: Dr. Chahal Ayurveda ਤੋਂ ਡਾ. ਗੁਰਮੁੱਖ ਸਿੰਘ ਚਾਹਲ ਨੇ ਕਿਹਾ ਉਹਨਾਂ ਦੀ ਫੇਕ ਆਈਡੀ ਬਣਾਕੇ ਹੋ ਰਿਹਾ ਹੈ ਮਿਸਯੂਇਜ਼ | video_title[other]: Voice of Punjab ਤੋਂ ਕਰੀਅਰ ਦੀ ਸ਼ੁਰੂਆਤ ਕਰਨ ਵਾਲੇ ਗਾਇਕ Ravdeep ਨੇ ਗਾਇਕੀ ਸਫ਼ਰ ਬਾਰੇ ਦੱਸਿਆ | video_title[devanagari]: कोहली स्वीट्स के मालिक Tejinder Singh Kohli द्वारा नए साल और लोहड़ी की शुभकामनाएं
15,UCxmaXs7ZZo-MASnn7DHDRpQ,both_or_all_deepseek_outside_other_majority,urd,5,6,hin,high,hin,high,model_disagreement_needs_review,eng_Latn,urd_Latn,"Hindi vs Urdu romanized ambiguity; non-DeepSeek Urdu majority is plausible, DeepSeek Hindi is understandable.",Latin-script Hindustani lacks script disambiguation.,Flag Hindi/Urdu romanized disagreements for review rather than treating as clear model failure.,video_title[latin]: Tere Bin 💞🔥| Murtasim x Meerab ❤😍 Murtasim Ki Dharkan Meerab Hai 💓 | #terebin #shorts​ #feedshorts | video_title[latin]: Tere Bin 💞🔥| Murtasim x Meerab ❤😍 Dooriyan Bhi Zaroori Thi🕊️ | #shorts​ #feedshorts #terebin | video_title[latin]: Tere Bin 💞🔥| Murtasim x Meerab ❤😍 Dil Ro Pada 😢 | #shorts​ #feedshorts #terebin #yumnazaidi
16,UCIpj2Vtw2GkXEfhevrAbkCQ,both_or_all_deepseek_outside_other_majority,wol,3,5,fra,high,fra,high,exact_model_agreement,wol_Latn,wol_Latn,French vs Wolof is ambiguous; many visible titles are French with Wolof/Mouride terms.,LID plus one LLM can create a strict Wolof majority even when surface text is mostly French.,Report LLM-only and LID-inclusive majorities separately for close Latin-script African-language cases.,video_title[latin]: Préparation Magal Kazu Rajab 2026 | Plateau Spécial Serigne Mbacké Abdou Rahman ci Serigne Fallou | video_title[latin]: Khoutba S Ah Rafahi du 09 Jan 2026 | Règles à accomplir pour les 5 prières quotidiennes obligatoires | video_title[latin]: Prière Vendredi Grande Mosquée Touba Imam Serigne Fallou Mbacké ibn S Abdou Khadre le 09 Jan 2026
17,UCiNPKlp7CVGnHxEutvXMYoA,deepseek_models_split_one_outside_other_majority,bho,6,6,hin,high,bho,high,exact_model_agreement,bho_Deva,bho_Deva,Bhojpuri majority; DeepSeek Flash returns Hindi while Pro agrees with Bhojpuri.,Close Hindi-Bhojpuri romanized/Devanagari evidence.,Keep as review/cluster-level disagreement; do not count Flash as a major infra issue.,"video_title[latin]: Kawan dhookh padle ho abala || कवन दुख पडले हो अबला - शिव गुरु भजन || Anita Shivani Shivguru Bhajan | video_title[latin]: #VIDEO || आम मोजराइले मईया अड़हुल फुलइले -देवी पचार || Aam mojaraile maiya, Anita Shivani Devipachra | video_title[latin]: #VIDEO #NEW - Kekra Ghar Ke sato bahiniya || केकरा घर के सातो बहिनिया || Devi Pachra, Anita Shivani"
18,UC2S2Uq6_crke_ovU5W7DGMQ,deepseek_models_split_one_outside_other_majority,eng,6,6,hin,high,eng,medium,exact_model_agreement,eng_Latn,eng_Latn,DeepSeek Flash Hindi is plausible from Indian song/remix titles; Pro/others follow English metadata.,Download/social boilerplate and English metadata dilute song-title language.,De-weight links/download boilerplate and summarize title language separately from descriptions.,"video_title[latin]: Chaiyya Chaiyya (Remix) | DJ DEXXNOR Mauritius | Dil Se | Shahrukh Khan, Malaika | Sukhwinder Singh | video_title[latin]: Pagol Hoye Jabo Ami (Remix) | DJ Dexxnor Mauritius | Deep Jandu | video_title[latin]: Maine Payal Hai Chhankai (Remix) | DJ Dexxnor | Falguni Pathak"
19,UC7ifVb3UxvamL-Mrd7ZzW_w,deepseek_models_split_one_outside_other_majority,eng,5,5,eng,high,hin,high,exact_model_agreement,eng_Latn,eng_Latn,Mostly English school/admission text with some Hindi/Hinglish; split is expected.,One Hindi/Devanagari item plus Hinglish description can tip one model.,"Flag low-volume secondary-language evidence as mixed/secondary, not primary.","video_title[latin]: AS-SAINA NEHWAL INDIAN BADMINTON PLAYER 🏸| International Women's Day 💞#viral #education #shortsfeed | video_title[latin]: Admission Open For Pre-Primary ( Playgroup, Nursery, Jr.Kg, Sr. Kg) ✌😍 #shorts #viral #ayushdubey | video_title[latin]: Reading Day 🎒 | 😍🫣Admission Open for 2026-27##shorts #happykids#activity #admissionsopen"
20,UCCe_Q4HpmEkO8LVm5iNWu2w,deepseek_models_split_one_outside_other_majority,eng,6,6,tam,medium,eng,medium,exact_model_agreement,eng_Latn,eng_Latn,Tamil travel cues mixed with English titles; split is plausible.,Single Tamil-script item and Tamil topic tags compete with English travel phrasing.,Use title-language counts and mixed-language flag; avoid treating topic/location tags alone as primary language.,video_title[latin]: Tirupati | free darshan - tirumala ssd tokens timings 🔥 | tamil solo travel | try today | video_title[latin]: deadliest temple 😳🤦🏻 | #shorts | #dangerous | #velliangiri | #trekking | #coimbatore | video_title[latin]: More Girls 😳🤦🏻‍♀️ | #shorts | #dangerous | #latest | #velliangiri | #yatra | #coimbatore
21,UCNx65cR5o_GrZm-neV17YhA,both_or_all_deepseek_outside_other_majority,eng,5,6,ell,high,,,model_disagreement_needs_review,ell_Grek,eng_Latn,DeepSeek Greek is plausible; Greek words recur in repeated support/stream descriptions while most boilerplate is English.,Repeated duplicated description boilerplate obscures actual Greek text share.,Deduplicate repeated descriptions and strip support/donation boilerplate before classification.,video_description[latin]: ► Support the stream: https://streamlabs.com/XkatiaX5 ή με Superchat! Thanks in advance! ► Support a Creator code in For | video_description[latin]: ► Support the stream: https://streamlabs.com/XkatiaX5 ή με Superchat! Thanks in advance! ► Support a Creator code in For | video_description[latin]: ► Support the stream: https://streamlabs.com/XkatiaX5 ή με Superchat! Thanks in advance! ► Support a Creator code in For
22,UCX8K4Ldn-bFMmtJgkxLfKgQ,deepseek_models_split_one_outside_other_majority,eng,6,6,eng,high,hin,medium,exact_model_agreement,eng_Latn,eng_Latn,Hinglish/Pakistani fashion evidence; DeepSeek Pro Hindi and Flash English both plausible.,Short commerce titles mix English with Hindi/Urdu cues.,Treat as mixed/review unless cue density strongly favors non-English.,video_title[latin]: Khalid Bhai is back with a CRAZY deal! Bridal Wear just ₹1500 & Casual Suits only ₹1000 FREE gifts 🎁 | video_title[latin]: POV: Neon green pehna aur sab dekhte reh gaye 💚✨ #youtubeindia | video_description[latin]: Khalid Bhai is back with a CRAZY deal! 😱 Bridal Wear just ₹1500 & Casual Suits only ₹1000 💃 Plus FREE gifts 🎁 Prayer Mat
23,UCZWuHtoysSgw1xAHwzRRDPg,deepseek_models_split_one_outside_other_majority,eng,6,6,eng,high,urd,medium,exact_model_agreement,eng_Latn,eng_Latn,Mostly English fruit content with one Urdu/Islamic segment; Pro likely overweights the minority segment.,Rare non-English hashtag/title evidence can override repeated English content for Pro.,Prompt should require sustained evidence before overriding majority title language.,video_title[latin]: 🤩Funniest Worldtime 😍awaz#azan#quran#viralshorts#islamic#india #trending#reels#allah#fyp#pk | video_title[latin]: Come Dine with M | A Fruit That Feels Cold Even in Heat | video_description[latin]: world🌍🔥 ♥️ awaz#azan#quran#viralshorts#islamic#india #trending#reels#allah#fyp#pk World ki sab se pyari awaz 🕋 Quran Urd
24,UCchODmn9drixYYD8jfhPmvw,deepseek_models_split_one_outside_other_majority,eng,5,6,eng,high,por,high,exact_model_agreement,eng_Latn,eng_Latn,English song content with Portuguese compilation metadata; Pro likely overweights metadata.,Provider/album localization metadata is not channel language.,Strip/de-weight “Provided to YouTube by” and rights/album metadata.,video_title[latin]: We Need A Little Christmas (Cover of Johnny Mathis) | video_title[latin]: We Need A Little Christmas (Cover of Johnny Mathis) | video_description[latin]: Provided to YouTube by Sony Music Entertainment All I Want For Christmas Is You · Glee Cast Músicas de Natal Clássicas 2
25,UCfYyj_23xCFWp9vmTiATpdg,deepseek_models_split_one_outside_other_majority,eng,4,6,eng,medium,hin,high,exact_model_agreement,eng_Latn,eng_Latn,"Haryanvi/Hindi comedy cues; DeepSeek Pro agrees with both Claude models, not a clear DeepSeek problem.",LID/Gemini English majority may miss romanized Hindi/Haryanvi.,Compare LLM-only vs LID-inclusive agreement and flag romanized Hindi/Haryanvi cases.,video_title[latin]: Fitness coach do everything..! 💪 #fitness #fitnessmotivation #motivation #comedy #tau #haryana | video_title[latin]: Its a old bollywood soul ❤️#tblisi#fun #tau #ootd #explore #travel #dance #business | video_title[latin]: My girlfriend got stuck in Time Machine 😭 #fun #timemachine #dark
26,UChRi1dpwnsZcIo1LSwzY0Iw,deepseek_models_split_one_outside_other_majority,eng,6,6,mal,high,eng,high,exact_model_agreement,eng_Latn,eng_Latn,"Malayalam music/film cues mixed with English marketing; Flash Malayalam, Pro English.","Music titles/proper nouns drive one model, English promotional text drives others.",Classify music channels with a mixed/proper-noun caution and stronger natural-language token weighting.,"video_title[latin]: Catch the breeze,chase the beat, and dance like you’re flying.. Paranne is pure happiness on repeat | video_title[latin]: A voice that defined generations 🎶✨Celebrating the timeless legend S. Janaki on her birthday 🌸 | video_title[latin]: Sambhavam Adhyayam Onnu | Original Soundtrack | Godwin Thomas | Jithu Satheesan Mangalathu"
27,UCmTMN8lUqPmF4hzrO6mM-Eg,deepseek_models_split_one_outside_other_majority,eng,6,6,eng,low,hin,high,exact_model_agreement,eng_Latn,eng_Latn,Mostly generic English/hashtag truck shorts; Pro Hindi likely over-infers from concatenated Hindi-like hashtag/text.,Hashtags and glued transliteration tokens can be over-weighted.,Filter/segment hashtags and glued tokens; require normal sentence evidence for primary non-English.,video_title[latin]: tata viral signa #automobile #jcbbaba #shortvideos #viralvideo #offroad #ekmotahathighumechala | video_title[latin]: tata mini truck viral dumper 💥 #automobile #travel #cricketlover #viralvideo #foryou #viralshort | video_title[latin]: tata ashok trending on #automobile #viralvideo #shortvideos #foryou #trendingvideo #shorts #yt
28,UCpYftIE8SHtFNTyEuMPIpCw,deepseek_models_split_one_outside_other_majority,eng,5,5,tam,high,eng,high,exact_model_agreement,eng_Latn,eng_Latn,"Tamil comedy cues in Latin script; Flash Tamil is plausible, Pro/others English.",Romanized Tamil words are treated as English by several models/LID.,Add romanized Dravidian cue handling and flag Latin-script comedy/music channels for review.,video_title[latin]: Correct dhana naaa..😆😂 #clgfun #comedy #comedyshorts #funny #collegelifememes #comedyvideos | video_title[latin]: Wait for twist..😆😂 sharezz..😂💯 #clgfun #comedy #funny #comedyshorts #collegelifememes | video_title[latin]: Vada Chennai bgm..😆😂 #comedy #clgfun #funny #comedyshorts #comedyvideos
29,UCrhH1dPISpWYDA6h5XHE9sw,deepseek_models_split_one_outside_other_majority,eng,4,6,eng,medium,kor,high,exact_model_agreement,eng_Latn,eng_Latn,Korean artist/title evidence mixed with English official-site boilerplate; Pro Korean is plausible.,Official-site metadata and links dilute Korean script/title evidence.,Strip repeated official-site boilerplate and include non-Latin script token share in prompts.,video_title[latin]: DKB(다크비) - the 9th Mini Album [Emotion] Highlight Medley | video_title[latin]: DKB(다크비) - the 9th Mini Album [Emotion] Highlight Medley | video_description[latin]: [ official Site ] Brave http://bravesound.com Twitter http://twitter.com/bravesound_ facebook http://www.facebook.com/Br
30,UCtSzfeO5IDD0byUhV1d7mdA,deepseek_models_split_one_outside_other_majority,eng,5,6,eng,high,spa,medium,model_disagreement_needs_review,eng_Latn,jam_Latn,"Lyrics channel is genuinely multilingual; Pro Spanish follows one lyric block, Flash English follows overall mix.",Single-primary language is a bad fit for multilingual lyrics channels.,Use mixed_language=true or human review when evidence spans several languages in lyrics/translation content.,"video_title[latin]: Søren Torpegaard Lund - Før Vi Går Hjem (Lyrics) | Denmark 🇩🇰 | Eurovision 2026 | video_description[latin]: Xavi, Manuel Turizo - En Privado (Letra/Lyrics) Manuel Turizo : https://facebook.com/ManuelTurizoMusic https://instagram | video_description[latin]: Alex Warren - Ordinary (Lyrics) Follow Alex Warren : https://www.facebook.com/AlexWaarren https://www.instagram.com/alex"
31,UCppbmHj0wFARLUazrid8M-w,deepseek_models_split_one_outside_other_majority,hin,4,6,hin,high,bho,high,model_disagreement_needs_review,eng_Latn,gom_Latn,Hindi vs Bhojpuri close case; Pro Bhojpuri has strong hashtag/evidence support while majority uses Hindi.,Close Indic language taxonomy and romanized Bhojpuri/Hindi ambiguity.,Use language-cluster review for Bhojpuri/Hindi and keep ISO-level disagreement visible.,video_title[latin]: saas bahu or samajhdari #mrandmrsbihari #greenscreen #comedyshorts #bhojpuricomedy #bhojpuri #short | video_title[latin]: pati patni or unki khusi #mrandmrsbihari #greenscreen #comedyshorts #bhojpuricomedy #bhojpuri #short | video_title[latin]: saas bahu or shopping ka paisa #mrandmrsbihari #greenscreen #comedyshorts #bhojpuricomedy #bhojpuri
32,UCDBhCQC7TJ3s0NIhXFAQ6HQ,deepseek_models_split_one_outside_other_majority,ind,5,6,ind,high,jav,high,model_disagreement_needs_review,ind_Latn,jav_Latn,"Indonesian vs Javanese mixed evidence; Pro follows Javanese-like titles, majority Indonesian.",Regional-language music titles plus Indonesian description create real mixed-language ambiguity.,Flag Indonesian/Javanese splits for review or report cluster-level alongside ISO-level.,video_title[latin]: TETEP DEMEN - NIKE CANDU - BOCAH GANK SLOW DUE GAWE SINGA BARONG LIVE DESA KALIMEKAR GEBANG CIREBON | video_title[latin]: SEISI ATI - LEE HIEN - BOCAH GANK SLOW DUE GAWE SINGA BARONG LIVE DESA KALIMEKAR GEBANG CIREBON | video_title[latin]: GERONG - NIKE CANDU - BOCAH GANK SLOW DUE GAWE SINGA BARONG LIVE DESA KALIMEKAR GEBANG CIREBON
33,UCwBPWfbp4yGDJBPPctuCudQ,deepseek_models_split_one_outside_other_majority,lao,5,5,tha,high,lao,high,exact_model_agreement,lao_Laoo,lao_Laoo,Lao/Thai side-by-side titles; Flash Thai is understandable but majority/Pro Lao.,Parallel Lao/Thai titles cause script confusion.,Prompt should prefer first/repeated primary side in paired bilingual titles and set secondary language.,video_title[thai]: ແຕະຂອບຟ້າ ຄຳສາບແຫ່ງເມືອງວັງ | แตะขอบฟ้า คำสาปแห่งเมืองวัง-อ่างคำ | video_title[thai]: ບາກອງ & ມາຍລອງ ຕຳນານຮັກພູຊ້າງແຫ່ | บากอง & มายลอง ตำนานรักภูช้างแห่ | video_title[thai]: ແຕະຂອບຟ້າ ມຸ່ງໜ້າສູ່ເມືອງວັງ| แตะขอบฟ้า มุ่งหน้าสู่เมืองวัง
34,UCnCpZ4XaeLOTK0MPw7ohIbg,deepseek_models_split_one_outside_other_majority,urd,5,6,pan,high,urd,high,model_disagreement_needs_review,eng_Latn,urd_Latn,"Urdu/Punjabi mixed music evidence; Flash Punjabi, Pro/majority Urdu.",Close Punjabi/Urdu romanized song metadata; genuine mixed repertoire.,Flag as mixed/review; do not treat as API/prompt failure unless a single-language label is required.,video_title[latin]: Ve Main Dil Tere Qadmaan Ech Rakheya Punjabi song (LIVE) Uzma Ghazal Karachi | Shoke Studio Multan. | video_title[latin]: Jab Bahar Aai Tou Sehra Ki Taraf Chal Nikla (LIVE) Akbar Pakistani Karachi | Shoke Studio Multan. | video_title[latin]: Kaise Kaise Log Hamare Ji Ko Jalane Aa Jate Hain (LIVE) Ashraf Mehdi Chichawattni | Shoke Studio.
